timestamp,flow,pressure,temperature
00:00:00,11.08,1.7,30.68
00:00:01,15.25,3.37,28.08
00:00:02,6.25,3.37,25.42
00:00:03,9.09,2.86,23.87
00:00:04,18.74,3.91,33.56
00:00:05,5.79,1.01,25.42
00:00:06,19.45,2.41,26.12
00:00:07,17.54,2.95,20.71
00:00:08,12.99,2.95,28.15
00:00:09,16.47,4.92,16.48
00:00:10,6.93,2.85,18.51
00:00:11,11.29,2.55,26.46
00:00:12,8.07,2.34,36.27
00:00:13,19.25,4.17,39.28
00:00:14,17.2,3.51,34.36
00:00:15,13.11,2.69,15.29
00:00:16,7.83,4.37,18.17
00:00:17,11.66,1.18,14.35
00:00:18,19.82,4.39,29.28
00:00:19,19.81,2.45,23.45
00:00:20,13.62,2.37,29.44
00:00:21,12.03,1.65,18.6
00:00:22,16.99,2.75,34.4
00:00:23,7.29,1.78,24.81
00:00:24,15.37,3.84,27.55
00:00:25,10.98,3.52,15.83
00:00:26,18.81,3.33,15.55
00:00:27,15.25,3.59,38.83
00:00:28,6.82,1.18,17.01
00:00:29,19.78,3.27,17.62
00:00:30,11.93,2.11,27.87
00:00:31,8.48,3.44,16.82
00:00:32,14.81,4.08,16.36
00:00:33,15.14,2.4,16.77
00:00:34,14.48,3.5,33.87
00:00:35,14.04,4.5,16.21
00:00:36,17.46,4.24,25.13
00:00:37,18.69,1.44,36.15
00:00:38,13.4,3.57,25.44
00:00:39,19.31,3.77,35.27
00:00:40,7.16,3.08,29.15
00:00:41,5.08,3.49,12.81
00:00:42,12.83,3.93,15.39
00:00:43,9.46,3.45,19.5
00:00:44,16.04,1.5,10.81
00:00:45,7.6,1.23,39.49
00:00:46,13.77,2.45,15.81
00:00:47,6.27,4.39,29.24
00:00:48,18.97,2.85,32.67
00:00:49,8.32,4.49,28.92
